,Glucose,Lac,Glutamate,Ammonia
143,1.0,0.0,0.6993006993006993,0.4873927972027972
144,1.0,0.0,0.6944444444444444,0.48314213194444444
145,1.0,0.0,0.6896551724137931,0.47895009655172416
146,1.0,0.0,0.684931506849315,0.4748154863013698
147,1.0,0.0,0.6802721088435374,0.4707371292517007
148,1.0,0.0,0.6756756756756757,0.4667138851351352
149,1.0,0.0,0.6711409395973155,0.46274464429530204
150,1.0,0.0,0.6666666666666666,0.4588283266666666
151,1.0,0.0,0.6622516556291391,0.45496388079470196
152,1.0,0.0,0.6578947368421053,0.45115028289473685
153,1.0,0.0,0.6535947712418301,0.44738653594771244
154,1.0,0.0,0.6493506493506493,0.44367166883116876
155,1.0,0.0,0.6451612903225806,0.4400047354838709
156,1.0,0.0,0.6410256410256411,0.4363848141025641
157,1.0,0.0,0.6369426751592356,0.43281100636942677
158,1.0,0.0,0.6329113924050633,0.4292824367088608
159,1.0,0.0,0.6289308176100629,0.42579825157232704
160,1.0,0.0,0.625,0.42235761875
161,1.0,0.0,0.6211180124223602,0.4189597267080746
162,1.0,0.0,0.6172839506172839,0.4156037839506173
163,1.0,0.0,0.6134969325153374,0.41228901840490795
164,1.0,0.0,0.6097560975609756,0.4090146768292683
165,1.0,0.0,0.6060606060606061,0.40578002424242426
166,1.0,0.0,0.6024096385542169,0.402584343373494
167,1.0,0.0,0.5988023952095808,0.39942693413173647
168,1.0,0.0,0.5952380952380952,0.3963071130952381
169,1.0,0.0,0.591715976331361,0.3932242130177515
170,1.0,0.0,0.5882352941176471,0.3901775823529412
171,1.0,0.0,0.5847953216374269,0.3871665847953216
172,1.0,0.0,0.5813953488372093,0.3841905988372093
173,1.0,0.0,0.5780346820809249,0.38124901734104044
174,1.0,0.0,0.5747126436781609,0.3783412471264368
175,1.0,0.0,0.5714285714285714,0.3754667085714286
176,1.0,0.0,0.5681818181818182,0.3726248352272727
177,1.0,0.0,0.5649717514124294,0.3698150734463277
178,1.0,0.0,0.5617977528089888,0.3670368820224719
179,1.0,0.0,0.5586592178770949,0.36428973184357544
180,1.0,0.0,0.5555555555555556,0.36157310555555555
181,1.0,0.0,0.5524861878453039,0.35888649723756905
182,1.0,0.0,0.5494505494505495,0.3562294120879121
183,1.0,0.0,0.546448087431694,0.3536013661202186
184,1.0,0.0,0.5434782608695652,0.3510018858695652
185,1.0,0.0,0.5405405405405406,0.3484305081081081
186,1.0,0.0,0.5376344086021505,0.3458867795698925
187,1.0,0.0,0.5347593582887701,0.343370256684492
