,Lactate,Malate,Fumarate,Biomass,CO2,R00268,R00405,R02740,R00351
2.9585798816568047,0.0,0.0,82.240293,126.80953,949.65586,177.29872,-177.29872,169.0,-177.29872
2.9411764705882355,0.0,0.0,84.386632,126.88551,946.92947,177.10537,-177.10537,170.0,-177.10537
2.9239766081871346,0.0,0.0,86.532972,126.96149,944.20308,176.91202,-176.91202,171.0,-176.91202
2.9069767441860463,0.0,0.0,88.679311,127.03747,941.4767,176.71867,-176.71867,172.0,-176.71867
2.8901734104046244,0.0,0.0,90.82565,127.11345,938.75031,176.52532,-176.52532,173.0,-176.52532
2.8735632183908044,0.0,0.0,92.97199,127.18943,936.02392,176.33197,-176.33197,174.0,-176.33197
2.857142857142857,0.0,0.0,95.118329,127.26541,933.29753,176.13862,-176.13862,175.0,-176.13862
2.840909090909091,0.0,0.0,97.264668,127.34139,930.57114,175.94527,-175.94527,176.0,-175.94527
2.824858757062147,0.0,0.0,99.411007,127.41737,927.84475,175.75192,-175.75192,177.0,-175.75192
2.808988764044944,0.0,1.5573467,100.0,127.49335,925.11836,175.55857,-175.55857,178.0,-175.55857
2.793296089385475,0.0,3.703686,100.0,127.56932,922.39197,175.36522,-175.36522,179.0,-175.36522
2.7777777777777777,0.0,5.8500253,100.0,127.6453,919.66558,175.17187,-175.17187,180.0,-175.17187
2.7624309392265194,0.0,7.9963646,100.0,127.72128,916.93919,174.97852,-174.97852,181.0,-174.97852
2.7472527472527473,0.0,10.142704,100.0,127.79726,914.2128,174.78517,-174.78517,182.0,-174.78517
2.73224043715847,0.0,12.289043,100.0,127.87324,911.48641,174.59182,-174.59182,183.0,-174.59182
2.717391304347826,0.0,14.435383,100.0,127.94922,908.76002,174.39847,-174.39847,184.0,-174.39847
2.7027027027027026,0.0,16.581722,100.0,128.0252,906.03363,174.20512,-174.20512,185.0,-174.20512
2.6881720430107525,0.0,18.728061,100.0,128.10118,903.30724,174.01177,-174.01177,186.0,-174.01177
2.6737967914438503,0.0,20.8744,100.0,128.17716,900.58085,173.81842,-173.81842,187.0,-173.81842
2.6595744680851063,0.0,23.02074,100.0,128.25314,897.85446,173.62507,-173.62507,188.0,-173.62507
2.6455026455026456,0.0,25.167079,100.0,128.32912,895.12807,173.43172,-173.43172,189.0,-173.43172
2.6315789473684212,0.0,27.313418,100.0,128.4051,892.40168,173.23837,-173.23837,190.0,-173.23837
2.6178010471204187,0.0,29.459758,100.0,128.48108,889.67529,173.04502,-173.04502,191.0,-173.04502
2.6041666666666665,0.0,31.606097,100.0,128.55706,886.9489,172.85167,-172.85167,192.0,-172.85167
2.5906735751295336,0.0,33.752436,100.0,128.63304,884.22251,172.65832,-172.65832,193.0,-172.65832
2.577319587628866,0.0,35.898776,100.0,128.70901,881.49613,172.46497,-172.46497,194.0,-172.46497
2.5641025641025643,0.0,38.045115,100.0,128.78499,878.76974,172.27162,-172.27162,195.0,-172.27162
2.5510204081632653,0.0,40.191454,100.0,128.86097,876.04335,172.07827,-172.07827,196.0,-172.07827
2.5380710659898478,0.0,42.337793,100.0,128.93695,873.31696,171.88492,-171.88492,197.0,-171.88492
2.525252525252525,0.0,44.484133,100.0,129.01293,870.59057,171.69157,-171.69157,198.0,-171.69157
2.512562814070352,0.0,46.630472,100.0,129.08891,867.86418,171.49822,-171.49822,199.0,-171.49822
2.5,0.0,48.776811,100.0,129.16489,865.13779,171.30487,-171.30487,200.0,-171.30487
2.487562189054726,0.0,50.923151,100.0,129.24087,862.4114,171.11152,-171.11152,201.0,-171.11152
2.4752475247524752,0.0,53.06949,100.0,129.31685,859.68501,170.91817,-170.91817,202.0,-170.91817
2.4630541871921183,0.0,55.215829,100.0,129.39283,856.95862,170.72482,-170.72482,203.0,-170.72482
2.450980392156863,0.0,57.362169,100.0,129.46881,854.23223,170.53147,-170.53147,204.0,-170.53147
