,R01049,R00268,R00351,R02740
2.0,24.051848,0.0,0.0,174.47942
1.9920318725099602,24.051848,0.0,0.0,175.47942
1.9841269841269842,24.051848,0.0,0.0,176.47942
1.976284584980237,24.051848,0.0,0.0,177.47942
1.968503937007874,24.051848,0.0,0.0,178.47942
1.9607843137254901,24.051848,0.0,0.0,179.47942
1.953125,24.051848,0.0,0.0,180.47942
1.9455252918287937,24.051848,0.0,0.0,181.47942
1.937984496124031,24.051848,0.0,0.0,182.47942
1.9305019305019304,24.051848,0.0,0.0,183.47942
1.9230769230769231,24.051848,0.0,0.0,184.47942
1.9157088122605364,24.051848,0.0,0.0,185.47942
1.9083969465648856,24.051848,0.0,0.0,186.47942
1.9011406844106464,24.051848,0.0,0.0,187.47942
1.893939393939394,24.051848,0.0,0.0,188.47942
1.8867924528301887,24.051848,0.0,0.0,189.47942
1.8796992481203008,24.051848,0.0,0.0,190.47942
1.8726591760299625,24.051848,0.0,0.0,191.47942
1.8656716417910448,24.051848,0.0,0.0,192.47942
1.858736059479554,24.051848,0.0,0.0,193.47942
1.8518518518518519,24.051848,0.0,0.0,194.47942
1.845018450184502,24.051848,0.0,0.0,195.47942
1.838235294117647,24.051848,0.0,0.0,196.47942
1.8315018315018314,24.051848,0.0,0.0,197.47942
1.8248175182481752,24.051848,0.0,0.0,198.47942
1.8181818181818181,24.051848,0.0,0.0,199.47942
1.8115942028985508,24.051848,0.0,0.0,200.47942
1.8050541516245486,24.051848,0.0,0.0,201.47942
1.7985611510791366,24.051848,0.0,0.0,202.47942
1.7921146953405018,24.051848,0.0,0.0,203.47942
1.7857142857142858,24.051848,0.0,0.0,204.47942
1.7793594306049823,24.051848,0.0,0.0,205.47942
1.7730496453900708,24.051848,0.0,0.0,206.47942
1.7667844522968197,24.051848,0.0,0.0,207.47942
1.7605633802816902,24.051848,0.0,0.0,208.47942
1.7543859649122806,24.051848,0.0,0.0,209.47942
1.7482517482517483,24.051848,0.0,0.0,210.47942
1.7421602787456445,24.051848,0.0,0.0,211.47942
1.7361111111111112,24.051848,0.0,0.0,212.47942
1.7301038062283738,24.051848,0.0,0.0,213.47942
1.7241379310344827,24.051848,0.0,0.0,214.47942
1.7182130584192439,24.051848,0.0,0.0,215.47942
1.7123287671232876,24.051848,0.0,0.0,216.47942
1.7064846416382253,24.051848,0.0,0.0,217.47942
1.7006802721088434,24.051848,0.0,0.0,218.47942
1.694915254237288,24.051848,0.0,0.0,219.47942
1.6891891891891893,24.051848,0.0,0.0,220.47942
1.6835016835016836,24.051848,0.0,0.0,221.47942
1.6778523489932886,24.051848,0.0,0.0,222.47942
1.6722408026755853,24.051848,0.0,0.0,223.47942
1.6666666666666667,24.051848,0.0,0.0,224.47942
1.6611295681063123,24.051848,0.0,0.0,225.47942
1.6556291390728477,24.051848,0.0,0.0,226.47942
1.6501650165016502,24.051848,0.0,0.0,227.47942
1.644736842105263,24.051848,0.0,0.0,228.47942
1.639344262295082,24.051848,0.0,0.0,229.47942
1.6339869281045751,24.051848,0.0,0.0,230.47942
1.6286644951140066,24.051848,0.0,0.0,231.47942
1.6233766233766234,24.051848,0.0,0.0,232.47942
1.6181229773462784,24.051848,0.0,0.0,233.47942
1.6129032258064515,24.051848,0.0,0.0,234.47942
1.607717041800643,24.051848,0.0,0.0,235.47942
1.6025641025641026,24.051848,0.0,0.0,236.47942
1.597444089456869,24.051848,0.0,0.0,237.47942
1.5923566878980893,24.051848,0.0,0.0,238.47942
1.5873015873015872,24.051848,0.0,0.0,239.47942
1.5822784810126582,24.051848,0.0,0.0,240.47942
1.5772870662460567,24.051848,0.0,0.0,241.47942
1.5723270440251573,24.051848,0.0,0.0,242.47942
1.567398119122257,24.051848,0.0,0.0,243.47942
1.5625,24.051848,0.0,0.0,244.47942
1.557632398753894,24.051848,0.0,0.0,245.47942
