,BIOMASS,R00200,R00268,R00341,R00342,R00351,R00405,R00658,R00703,R01015,R01049,R01056,R01061,R01070,R01082,R01196,R01197,R01325,R01512,R01518,R01528,R01529,R01641,R01786,R01830,R01899,R01900,R02035,R02164,R02740,R04779,Glucose_input,Oxygen_input,CO2_output,Lactate_output,Acetate_output,Glutamate_input,Ammonia_output,Glu_Exchange,acetyl_CoA_hydrolase,NADP_Exchange,ADP_Exchange,AMP_Exchange,R00835,R08575,R00243,Oxophos
10,28.048917,-14.182374,0.0,40.658589,68.4632,0.0,-58.386346,-26.476215,0.0,-1.0788642,3.6070627,-2.4047085,0.95537417,1.0788642,-68.4632,0.0,-58.386346,0.0,-0.95537417,26.476215,0.0,-2.4047085,1.2023542,10.0,1.2023542,0.0,0.0,0.0,58.386346,2.2812184,1.0788642,10.0,113.17841,202.14649,0.0,0.0,100.0,89.923146,0.0,-1.3062661,87.892993,-59.055822,3.6070627,0.0,-1.2023542,100.0,113.17841
11,28.516399,-14.418747,0.0,39.669565,67.937586,0.0,-57.692785,-25.250818,0.0,-1.9301786,3.6671804,-2.444787,2.6379637,1.9301786,-67.937586,0.0,-57.692785,0.0,-2.6379637,25.250818,0.0,-2.444787,1.2223935,11.0,1.2223935,0.0,0.0,0.0,57.692785,3.1525721,1.9301786,11.0,115.06471,202.18226,0.0,0.0,100.0,89.755198,0.0,-1.3280372,89.357877,-60.040086,3.6671804,0.0,-1.2223935,100.0,115.06471
12,28.983881,-14.65512,0.0,38.680542,67.411973,0.0,-56.999224,-24.025422,0.0,-2.781493,3.7272981,-2.4848654,4.3205533,2.781493,-67.411973,0.0,-56.999224,0.0,-4.3205533,24.025422,0.0,-2.4848654,1.2424327,12.0,1.2424327,0.0,0.0,0.0,56.999224,4.0239257,2.781493,12.0,116.95102,202.21803,0.0,0.0,100.0,89.587251,0.0,-1.3498083,90.82276,-61.024349,3.7272981,0.0,-1.2424327,100.0,116.95102
13,29.451363,-14.891493,0.0,37.691518,66.88636,0.0,-56.305663,-22.800025,0.0,-3.6328074,3.7874159,-2.5249439,6.0031429,3.6328074,-66.88636,0.0,-56.305663,0.0,-6.0031429,22.800025,0.0,-2.5249439,1.262472,13.0,1.262472,0.0,0.0,0.0,56.305663,4.8952794,3.6328074,13.0,118.83733,202.25381,0.0,0.0,100.0,89.419303,0.0,-1.3715794,92.287643,-62.008613,3.7874159,0.0,-1.262472,100.0,118.83733
14,29.918845,-15.127866,0.0,36.702494,66.360746,0.0,-55.612102,-21.574629,0.0,-4.4841218,3.8475336,-2.5650224,7.6857325,4.4841218,-66.360746,0.0,-55.612102,0.0,-7.6857325,21.574629,0.0,-2.5650224,1.2825112,14.0,1.2825112,0.0,0.0,0.0,55.612102,5.766633,4.4841218,14.0,120.72363,202.28958,0.0,0.0,100.0,89.251356,0.0,-1.3933505,93.752526,-62.992877,3.8475336,0.0,-1.2825112,100.0,120.72363
15,30.386327,-15.364239,0.0,35.713471,65.835133,0.0,-54.918541,-20.349232,0.0,-5.3354362,3.9076513,-2.6051009,9.368322,5.3354362,-65.835133,0.0,-54.918541,0.0,-9.368322,20.349232,0.0,-2.6051009,1.3025504,15.0,1.3025504,0.0,0.0,0.0,54.918541,6.6379866,5.3354362,15.0,122.60994,202.32536,0.0,0.0,100.0,89.083408,0.0,-1.4151216,95.217409,-63.977141,3.9076513,0.0,-1.3025504,100.0,122.60994
16,30.853809,-15.600611,0.0,34.724447,65.30952,0.0,-54.22498,-19.123836,0.0,-6.1867506,3.967769,-2.6451793,11.050912,6.1867506,-65.30952,0.0,-54.22498,0.0,-11.050912,19.123836,0.0,-2.6451793,1.3225897,16.0,1.3225897,0.0,0.0,0.0,54.22498,7.5093403,6.1867506,16.0,124.49625,202.36113,0.0,0.0,100.0,88.915461,0.0,-1.4368927,96.682293,-64.961404,3.967769,0.0,-1.3225897,100.0,124.49625
17,31.321291,-15.836984,0.0,33.735424,64.783906,0.0,-53.531419,-17.89844,0.0,-7.038065,4.0278867,-2.6852578,12.733501,7.038065,-64.783906,0.0,-53.531419,0.0,-12.733501,17.89844,0.0,-2.6852578,1.3426289,17.0,1.3426289,0.0,0.0,0.0,53.531419,8.3806939,7.038065,17.0,126.38255,202.39691,0.0,0.0,100.0,88.747513,0.0,-1.4586638,98.147176,-65.945668,4.0278867,0.0,-1.3426289,100.0,126.38255
18,31.788773,-16.073357,0.0,32.7464,64.258293,0.0,-52.837859,-16.673043,0.0,-7.8893794,4.0880044,-2.7253363,14.416091,7.8893794,-64.258293,0.0,-52.837859,0.0,-14.416091,16.673043,0.0,-2.7253363,1.3626681,18.0,1.3626681,0.0,0.0,0.0,52.837859,9.2520476,7.8893794,18.0,128.26886,202.43268,0.0,0.0,100.0,88.579565,0.0,-1.4804349,99.612059,-66.929932,4.0880044,0.0,-1.3626681,100.0,128.26886
19,32.256255,-16.30973,0.0,31.757377,63.73268,0.0,-52.144298,-15.447647,0.0,-8.7406938,4.1481221,-2.7654147,16.09868,8.7406938,-63.73268,0.0,-52.144298,0.0,-16.09868,15.447647,0.0,-2.7654147,1.3827074,19.0,1.3827074,0.0,0.0,0.0,52.144298,10.123401,8.7406938,19.0,130.15517,202.46846,0.0,0.0,100.0,88.411618,0.0,-1.502206,101.07694,-67.914195,4.1481221,0.0,-1.3827074,100.0,130.15517
20,32.723737,-16.546103,0.0,30.768353,63.207066,0.0,-51.450737,-14.22225,0.0,-9.5920082,4.2082398,-2.8054932,17.78127,9.5920082,-63.207066,0.0,-51.450737,0.0,-17.78127,14.22225,0.0,-2.8054932,1.4027466,20.0,1.4027466,0.0,0.0,0.0,51.450737,10.994755,9.5920082,20.0,132.04147,202.50423,0.0,0.0,100.0,88.24367,0.0,-1.5239771,102.54183,-68.898459,4.2082398,0.0,-1.4027466,100.0,132.04147
21,33.191219,-16.782476,0.0,29.77933,62.681453,0.0,-50.757176,-12.996854,0.0,-10.443323,4.2683575,-2.8455717,19.463859,10.443323,-62.681453,0.0,-50.757176,0.0,-19.463859,12.996854,0.0,-2.8455717,1.4227858,21.0,1.4227858,0.0,0.0,0.0,50.757176,11.866108,10.443323,21.0,133.92778,202.54001,0.0,0.0,100.0,88.075723,0.0,-1.5457483,104.00671,-69.882723,4.2683575,0.0,-1.4227858,100.0,133.92778
