,Glucose_input,Lactate_output,Glutamate_input,Ammonia_output
223,100.0,45.552205,81.99307,62.138236
224,100.0,44.859614,82.360752,62.416883
225,100.0,44.167023,82.728434,62.69553
226,100.0,43.474432,83.096116,62.974176
227,100.0,42.781841,83.463798,63.252823
228,100.0,42.08925,83.83148,63.53147
229,100.0,41.396659,84.199162,63.810117
230,100.0,40.704068,84.566843,64.088764
231,100.0,40.011477,84.934525,64.36741
232,100.0,39.318886,85.302207,64.646057
233,100.0,38.626295,85.669889,64.924704
234,100.0,37.933704,86.037571,65.203351
235,100.0,37.241113,86.405253,65.481997
236,100.0,36.548522,86.772935,65.760644
237,100.0,35.855931,87.140617,66.039291
238,100.0,35.16334,87.508299,66.317938
239,100.0,34.470749,87.875981,66.596585
240,100.0,33.778158,88.243663,66.875231
241,100.0,33.085567,88.611345,67.153878
242,100.0,32.392976,88.979027,67.432525
243,100.0,31.700385,89.346709,67.711172
244,100.0,31.007794,89.71439,67.989819
245,100.0,30.315203,90.082072,68.268465
246,100.0,29.622612,90.449754,68.547112
247,100.0,28.930021,90.817436,68.825759
248,100.0,28.23743,91.185118,69.104406
249,100.0,27.544839,91.5528,69.383053
250,100.0,26.852248,91.920482,69.661699
251,100.0,26.159657,92.288164,69.940346
252,100.0,25.467066,92.655846,70.218993
253,100.0,24.774475,93.023528,70.49764
254,100.0,24.081884,93.39121,70.776287
255,100.0,23.389293,93.758892,71.054933
256,100.0,22.696702,94.126574,71.33358
257,100.0,22.004111,94.494256,71.612227
258,100.0,21.31152,94.861937,71.890874
259,100.0,20.618929,95.229619,72.169521
260,100.0,19.926338,95.597301,72.448167
261,100.0,19.233747,95.964983,72.726814
262,100.0,18.541156,96.332665,73.005461
263,100.0,17.848565,96.700347,73.284108
264,100.0,17.155974,97.068029,73.562755
265,100.0,16.463383,97.435711,73.841401
266,100.0,15.770792,97.803393,74.120048
267,100.0,15.078201,98.171075,74.398695
268,100.0,14.38561,98.538757,74.677342
269,100.0,13.693019,98.906439,74.955989
270,100.0,13.000428,99.274121,75.234635
271,100.0,12.307837,99.641802,75.513282
272,100.0,11.615246,100.00948,75.791929
273,100.0,10.922655,100.37717,76.070576
274,100.0,10.230064,100.74485,76.349223
275,100.0,9.5374726,101.11253,76.627869
276,100.0,8.8448816,101.48021,76.906516
277,100.0,8.1522906,101.84789,77.185163
278,100.0,7.4596996,102.21558,77.46381
279,100.0,6.7671086,102.58326,77.742457
280,100.0,6.0745175,102.95094,78.021103
