,BIOMASS,R00200,R00268,R00341,R00342,R00351,R00405,R00658,R00703,R01015,R01049,R01056,R01061,R01070,R01082,R01196,R01197,R01325,R01512,R01518,R01528,R01529,R01641,R01786,R01830,R01899,R01900,R02035,R02164,R02740,R04779,Glucose_input,Oxygen_input,CO2_output,Lactate_output,Acetate_output,Glutamate_input,Ammonia_output,Glu_Exchange,acetyl_CoA_hydrolase,NADP_Exchange,ADP_Exchange,AMP_Exchange,R00835,R08575,R00243,Oxophos
22,42.34751,-62.239361,40.827189,-67.592086,15.213766,-40.827189,0.0,129.83145,0.0,-86.531106,5.4458474,-3.630565,171.24693,86.531106,-15.213766,-40.827189,0.0,40.827189,-171.24693,-129.83145,0.0,-3.630565,1.8152825,100.0,1.8152825,40.827189,-40.827189,0.0,0.0,88.346389,86.531106,100.0,211.70094,210.54946,0.0,0.0,22.0,6.7862336,0.0,-1.9721659,173.52569,196.62941,5.4458474,0.0,-1.8152825,22.0,211.70094
23,42.694621,-61.929847,40.342166,-67.326447,15.338469,-40.342166,0.0,129.25629,0.0,-86.420706,5.4904855,-3.6603237,171.01125,86.420706,-15.338469,-40.342166,0.0,40.342166,-171.01125,-129.25629,0.0,-3.6603237,1.8301618,100.0,1.8301618,40.342166,-40.342166,0.0,0.0,88.250867,86.420706,100.0,212.61652,210.63593,0.0,0.0,23.0,7.6615306,0.0,-1.9883312,174.12836,192.50343,5.4904855,0.0,-1.8301618,23.0,212.61652
24,43.041731,-61.620334,39.857143,-67.060809,15.463172,-39.857143,0.0,128.68114,0.0,-86.310305,5.5351236,-3.6900824,170.77557,86.310305,-15.463172,-39.857143,0.0,39.857143,-170.77557,-128.68114,0.0,-3.6900824,1.8450412,100.0,1.8450412,39.857143,-39.857143,0.0,0.0,88.155346,86.310305,100.0,213.5321,210.72241,0.0,0.0,24.0,8.5368276,0.0,-2.0044965,174.73103,188.37744,5.5351236,0.0,-1.8450412,24.0,213.5321
25,43.388842,-61.31082,39.37212,-66.79517,15.587875,-39.37212,0.0,128.10599,0.0,-86.199904,5.5797617,-3.7198411,170.53989,86.199904,-15.587875,-39.37212,0.0,39.37212,-170.53989,-128.10599,0.0,-3.7198411,1.8599206,100.0,1.8599206,39.37212,-39.37212,0.0,0.0,88.059825,86.199904,100.0,214.44768,210.80888,0.0,0.0,25.0,9.4121246,0.0,-2.0206618,175.3337,184.25145,5.5797617,0.0,-1.8599206,25.0,214.44768
26,43.735953,-61.001307,38.887097,-66.529531,15.712578,-38.887097,0.0,127.53084,0.0,-86.089503,5.6243998,-3.7495999,170.30421,86.089503,-15.712578,-38.887097,0.0,38.887097,-170.30421,-127.53084,0.0,-3.7495999,1.8747999,100.0,1.8747999,38.887097,-38.887097,0.0,0.0,87.964303,86.089503,100.0,215.36326,210.89535,0.0,0.0,26.0,10.287422,0.0,-2.0368271,175.93637,180.12546,5.6243998,0.0,-1.8747999,26.0,215.36326
27,44.083064,-60.691793,38.402074,-66.263893,15.837281,-38.402074,0.0,126.95569,0.0,-85.979102,5.6690379,-3.7793586,170.06853,85.979102,-15.837281,-38.402074,0.0,38.402074,-170.06853,-126.95569,0.0,-3.7793586,1.8896793,100.0,1.8896793,38.402074,-38.402074,0.0,0.0,87.868782,85.979102,100.0,216.27884,210.98182,0.0,0.0,27.0,11.162719,0.0,-2.0529924,176.53904,175.99947,5.6690379,0.0,-1.8896793,27.0,216.27884
28,44.430174,-60.38228,37.917051,-65.998254,15.961984,-37.917051,0.0,126.38053,0.0,-85.868702,5.713676,-3.8091173,169.83284,85.868702,-15.961984,-37.917051,0.0,37.917051,-169.83284,-126.38053,0.0,-3.8091173,1.9045587,100.0,1.9045587,37.917051,-37.917051,0.0,0.0,87.77326,85.868702,100.0,217.19443,211.06829,0.0,0.0,28.0,12.038016,0.0,-2.0691576,177.14171,171.87348,5.713676,0.0,-1.9045587,28.0,217.19443
29,44.777285,-60.072767,37.432028,-65.732615,16.086687,-37.432028,0.0,125.80538,0.0,-85.758301,5.7583141,-3.8388761,169.59716,85.758301,-16.086687,-37.432028,0.0,37.432028,-169.59716,-125.80538,0.0,-3.8388761,1.919438,100.0,1.919438,37.432028,-37.432028,0.0,0.0,87.677739,85.758301,100.0,218.11001,211.15476,0.0,0.0,29.0,12.913313,0.0,-2.0853229,177.74438,167.74749,5.7583141,0.0,-1.919438,29.0,218.11001
30,45.124396,-59.763253,36.947005,-65.466977,16.21139,-36.947005,0.0,125.23023,0.0,-85.6479,5.8029522,-3.8686348,169.36148,85.6479,-16.21139,-36.947005,0.0,36.947005,-169.36148,-125.23023,0.0,-3.8686348,1.9343174,100.0,1.9343174,36.947005,-36.947005,0.0,0.0,87.582218,85.6479,100.0,219.02559,211.24123,0.0,0.0,30.0,13.78861,0.0,-2.1014882,178.34705,163.62151,5.8029522,0.0,-1.9343174,30.0,219.02559
31,45.471507,-59.45374,36.461982,-65.201338,16.336093,-36.461982,0.0,124.65508,0.0,-85.537499,5.8475903,-3.8983935,169.1258,85.537499,-16.336093,-36.461982,0.0,36.461982,-169.1258,-124.65508,0.0,-3.8983935,1.9491968,100.0,1.9491968,36.461982,-36.461982,0.0,0.0,87.486696,85.537499,100.0,219.94117,211.3277,0.0,0.0,31.0,14.663907,0.0,-2.1176535,178.94972,159.49552,5.8475903,0.0,-1.9491968,31.0,219.94117
32,45.818617,-59.144226,35.976959,-64.935699,16.460796,-35.976959,0.0,124.07993,0.0,-85.427099,5.8922284,-3.9281522,168.89012,85.427099,-16.460796,-35.976959,0.0,35.976959,-168.89012,-124.07993,0.0,-3.9281522,1.9640761,100.0,1.9640761,35.976959,-35.976959,0.0,0.0,87.391175,85.427099,100.0,220.85675,211.41417,0.0,0.0,32.0,15.539204,0.0,-2.1338188,179.55239,155.36953,5.8922284,0.0,-1.9640761,32.0,220.85675
33,46.165728,-58.834713,35.491936,-64.670061,16.585499,-35.491936,0.0,123.50477,0.0,-85.316698,5.9368665,-3.957911,168.65444,85.316698,-16.585499,-35.491936,0.0,35.491936,-168.65444,-123.50477,0.0,-3.957911,1.9789555,100.0,1.9789555,35.491936,-35.491936,0.0,0.0,87.295653,85.316698,100.0,221.77233,211.50064,0.0,0.0,33.0,16.414501,0.0,-2.1499841,180.15506,151.24354,5.9368665,0.0,-1.9789555,33.0,221.77233
34,46.512839,-58.525199,35.006913,-64.404422,16.710202,-35.006913,0.0,122.92962,0.0,-85.206297,5.9815046,-3.9876697,168.41876,85.206297,-16.710202,-35.006913,0.0,35.006913,-168.41876,-122.92962,0.0,-3.9876697,1.9938349,100.0,1.9938349,35.006913,-35.006913,0.0,0.0,87.200132,85.206297,100.0,222.68791,211.58712,0.0,0.0,34.0,17.289798,0.0,-2.1661494,180.75773,147.11755,5.9815046,0.0,-1.9938349,34.0,222.68791
35,46.859949,-58.215686,34.52189,-64.138784,16.834905,-34.52189,0.0,122.35447,0.0,-85.095896,6.0261426,-4.0174284,168.18308,85.095896,-16.834905,-34.52189,0.0,34.52189,-168.18308,-122.35447,0.0,-4.0174284,2.0087142,100.0,2.0087142,34.52189,-34.52189,0.0,0.0,87.10461,85.095896,100.0,223.6035,211.67359,0.0,0.0,35.0,18.165095,0.0,-2.1823147,181.3604,142.99156,6.0261426,0.0,-2.0087142,35.0,223.6035
36,47.20706,-57.906172,34.036867,-63.873145,16.959608,-34.036867,0.0,121.77932,0.0,-84.985496,6.0707807,-4.0471872,167.9474,84.985496,-16.959608,-34.036867,0.0,34.036867,-167.9474,-121.77932,0.0,-4.0471872,2.0235936,100.0,2.0235936,34.036867,-34.036867,0.0,0.0,87.009089,84.985496,100.0,224.51908,211.76006,0.0,0.0,36.0,19.040392,0.0,-2.19848,181.96307,138.86558,6.0707807,0.0,-2.0235936,36.0,224.51908
37,47.554171,-57.596659,33.551844,-63.607506,17.084311,-33.551844,0.0,121.20417,0.0,-84.875095,6.1154188,-4.0769459,167.71172,84.875095,-17.084311,-33.551844,0.0,33.551844,-167.71172,-121.20417,0.0,-4.0769459,2.0384729,100.0,2.0384729,33.551844,-33.551844,0.0,0.0,86.913568,84.875095,100.0,225.43466,211.84653,0.0,0.0,37.0,19.915689,0.0,-2.2146453,182.56574,134.73959,6.1154188,0.0,-2.0384729,37.0,225.43466
38,47.901282,-57.287146,33.066821,-63.341868,17.209014,-33.066821,0.0,120.62901,0.0,-84.764694,6.1600569,-4.1067046,167.47604,84.764694,-17.209014,-33.066821,0.0,33.066821,-167.47604,-120.62901,0.0,-4.1067046,2.0533523,100.0,2.0533523,33.066821,-33.066821,0.0,0.0,86.818046,84.764694,100.0,226.35024,211.933,0.0,0.0,38.0,20.790986,0.0,-2.2308106,183.16841,130.6136,6.1600569,0.0,-2.0533523,38.0,226.35024
39,48.248392,-56.977632,32.581798,-63.076229,17.333717,-32.581798,0.0,120.05386,0.0,-84.654293,6.204695,-4.1364633,167.24035,84.654293,-17.333717,-32.581798,0.0,32.581798,-167.24035,-120.05386,0.0,-4.1364633,2.0682317,100.0,2.0682317,32.581798,-32.581798,0.0,0.0,86.722525,84.654293,100.0,227.26582,212.01947,0.0,0.0,39.0,21.666283,0.0,-2.2469759,183.77108,126.48761,6.204695,0.0,-2.0682317,39.0,227.26582
40,48.595503,-56.668119,32.096774,-62.81059,17.45842,-32.096774,0.0,119.47871,0.0,-84.543892,6.2493331,-4.1662221,167.00467,84.543892,-17.45842,-32.096774,0.0,32.096774,-167.00467,-119.47871,0.0,-4.1662221,2.083111,100.0,2.083111,32.096774,-32.096774,0.0,0.0,86.627003,84.543892,100.0,228.1814,212.10594,0.0,0.0,40.0,22.54158,0.0,-2.2631412,184.37375,122.36162,6.2493331,0.0,-2.083111,40.0,228.1814
41,48.942614,-56.358605,31.611751,-62.544952,17.583123,-31.611751,0.0,118.90356,0.0,-84.433492,6.2939712,-4.1959808,166.76899,84.433492,-17.583123,-31.611751,0.0,31.611751,-166.76899,-118.90356,0.0,-4.1959808,2.0979904,100.0,2.0979904,31.611751,-31.611751,0.0,0.0,86.531482,84.433492,100.0,229.09698,212.19241,0.0,0.0,41.0,23.416877,0.0,-2.2793065,184.97642,118.23563,6.2939712,0.0,-2.0979904,41.0,229.09698
42,49.289725,-56.049092,31.126728,-62.279313,17.707826,-31.126728,0.0,118.3284,0.0,-84.323091,6.3386093,-4.2257395,166.53331,84.323091,-17.707826,-31.126728,0.0,31.126728,-166.53331,-118.3284,0.0,-4.2257395,2.1128698,100.0,2.1128698,31.126728,-31.126728,0.0,0.0,86.435961,84.323091,100.0,230.01257,212.27888,0.0,0.0,42.0,24.292174,0.0,-2.2954718,185.57909,114.10965,6.3386093,0.0,-2.1128698,42.0,230.01257
43,49.636835,-55.739578,30.641705,-62.013674,17.832529,-30.641705,0.0,117.75325,0.0,-84.21269,6.3832474,-4.2554983,166.29763,84.21269,-17.832529,-30.641705,0.0,30.641705,-166.29763,-117.75325,0.0,-4.2554983,2.1277491,100.0,2.1277491,30.641705,-30.641705,0.0,0.0,86.340439,84.21269,100.0,230.92815,212.36535,0.0,0.0,43.0,25.167471,0.0,-2.3116371,186.18176,109.98366,6.3832474,0.0,-2.1277491,43.0,230.92815
44,49.983946,-55.430065,30.156682,-61.748036,17.957232,-30.156682,0.0,117.1781,0.0,-84.102289,6.4278855,-4.285257,166.06195,84.102289,-17.957232,-30.156682,0.0,30.156682,-166.06195,-117.1781,0.0,-4.285257,2.1426285,100.0,2.1426285,30.156682,-30.156682,0.0,0.0,86.244918,84.102289,100.0,231.84373,212.45183,0.0,0.0,44.0,26.042768,0.0,-2.3278024,186.78443,105.85767,6.4278855,0.0,-2.1426285,44.0,231.84373
45,50.331057,-55.120552,29.671659,-61.482397,18.081935,-29.671659,0.0,116.60295,0.0,-83.991889,6.4725236,-4.3150157,165.82627,83.991889,-18.081935,-29.671659,0.0,29.671659,-165.82627,-116.60295,0.0,-4.3150157,2.1575079,100.0,2.1575079,29.671659,-29.671659,0.0,0.0,86.149396,83.991889,100.0,232.75931,212.5383,0.0,0.0,45.0,26.918065,0.0,-2.3439676,187.3871,101.73168,6.4725236,0.0,-2.1575079,45.0,232.75931
46,50.678168,-54.811038,29.186636,-61.216759,18.206638,-29.186636,0.0,116.0278,0.0,-83.881488,6.5171617,-4.3447745,165.59059,83.881488,-18.206638,-29.186636,0.0,29.186636,-165.59059,-116.0278,0.0,-4.3447745,2.1723872,100.0,2.1723872,29.186636,-29.186636,0.0,0.0,86.053875,83.881488,100.0,233.67489,212.62477,0.0,0.0,46.0,27.793362,0.0,-2.3601329,187.98977,97.605692,6.5171617,0.0,-2.1723872,46.0,233.67489
47,51.025278,-54.501525,28.701613,-60.95112,18.331341,-28.701613,0.0,115.45264,0.0,-83.771087,6.5617998,-4.3745332,165.35491,83.771087,-18.331341,-28.701613,0.0,28.701613,-165.35491,-115.45264,0.0,-4.3745332,2.1872666,100.0,2.1872666,28.701613,-28.701613,0.0,0.0,85.958354,83.771087,100.0,234.59047,212.71124,0.0,0.0,47.0,28.668659,0.0,-2.3762982,188.59244,93.479703,6.5617998,0.0,-2.1872666,47.0,234.59047
48,51.372389,-54.192011,28.21659,-60.685481,18.456044,-28.21659,0.0,114.87749,0.0,-83.660686,6.6064379,-4.4042919,165.11923,83.660686,-18.456044,-28.21659,0.0,28.21659,-165.11923,-114.87749,0.0,-4.4042919,2.202146,100.0,2.202146,28.21659,-28.21659,0.0,0.0,85.862832,83.660686,100.0,235.50606,212.79771,0.0,0.0,48.0,29.543956,0.0,-2.3924635,189.19511,89.353715,6.6064379,0.0,-2.202146,48.0,235.50606
49,51.7195,-53.882498,27.731567,-60.419843,18.580748,-27.731567,0.0,114.30234,0.0,-83.550286,6.651076,-4.4340506,164.88355,83.550286,-18.580748,-27.731567,0.0,27.731567,-164.88355,-114.30234,0.0,-4.4340506,2.2170253,100.0,2.2170253,27.731567,-27.731567,0.0,0.0,85.767311,83.550286,100.0,236.42164,212.88418,0.0,0.0,49.0,30.419252,0.0,-2.4086288,189.79777,85.227727,6.651076,0.0,-2.2170253,49.0,236.42164
