,Glucose,Lac,Glutamate,Ammonia
138,1.0,0.0,1.38,0.7032068499999999
139,1.0,0.0,1.39,0.70195982
140,1.0,0.0,1.4,0.7007127900000001
141,1.0,0.0,1.41,0.6994657599999999
142,1.0,0.0,1.42,0.69821873
143,1.0,0.0,1.43,0.6969717
144,1.0,0.0,1.44,0.69572467
145,1.0,0.0,1.45,0.6944776400000001
146,1.0,0.0,1.46,0.69323061
147,1.0,0.0,1.47,0.69198358
148,1.0,0.0,1.48,0.69073655
149,1.0,0.0,1.49,0.6894895200000001
150,1.0,0.0,1.5,0.6882424899999999
151,1.0,0.0,1.51,0.68699546
152,1.0,0.0,1.52,0.68574843
153,1.0,0.0,1.53,0.6845014
154,1.0,0.0,1.54,0.6832543699999999
155,1.0,0.0,1.55,0.68200734
156,1.0,0.0,1.56,0.68076031
157,1.0,0.0,1.57,0.67951328
158,1.0,0.0,1.58,0.6782662500000001
159,1.0,0.0,1.59,0.6770192199999999
160,1.0,0.0,1.6,0.67577219
161,1.0,0.0,1.61,0.6745251600000001
162,1.0,0.0,1.62,0.67327813
163,1.0,0.0,1.63,0.6720311
164,1.0,0.0,1.64,0.67078407
165,1.0,0.0,1.65,0.66953704
166,1.0,0.0,1.66,0.6682900100000001
167,1.0,0.0,1.67,0.66704298
168,1.0,0.0,1.68,0.66579595
169,1.0,0.0,1.69,0.66454892
170,1.0,0.0,1.7,0.6633018900000001
171,1.0,0.0,1.71,0.6620548599999999
172,1.0,0.0,1.72,0.66080783
173,1.0,0.0,1.73,0.6595608
174,1.0,0.0,1.74,0.65831377
175,1.0,0.0,1.75,0.6570667400000001
176,1.0,0.0,1.76,0.65581971
177,1.0,0.0,1.77,0.65457268
178,1.0,0.0,1.78,0.65332565
179,1.0,0.0,1.79,0.65207862
180,1.0,0.0,1.8,0.6508315899999999
181,1.0,0.0,1.81,0.64958456
182,1.0,0.0,1.82,0.64833753
183,1.0,0.0,1.83,0.6470905
184,1.0,0.0,1.84,0.64584347
185,1.0,0.0,1.85,0.6445964399999999
186,1.0,0.0,1.86,0.64334941
187,1.0,0.0,1.87,0.6421023800000001
188,1.0,0.0,1.88,0.6408553499999999
189,1.0,0.0,1.9073088276105659,0.637449857456417
190,1.0,0.0,1.936947269159212,0.6337538547799271
191,1.0,0.0,1.9671962303988464,0.629981718464351
192,1.0,0.0,1.9980747717043474,0.6261310716236959
193,1.0,0.0,2.0296027552120304,0.6221994373899098
194,1.0,0.0,2.0618008874246088,0.6181842335999149
195,1.0,0.0,2.094690764562129,0.61408276714021
196,1.0,0.0,2.128294920867606,0.6098922279230121
197,1.0,0.0,2.1626368800944094,0.6056096824656256
198,1.0,0.0,2.1977412104226213,0.6012320670422066
199,1.0,0.0,2.2336335830737717,0.59675618037433
200,1.0,0.0,2.270340834917842,0.592178675823708
201,1.0,0.0,2.3078910353934035,0.5874960530470477
202,1.0,0.0,2.3463135580915875,0.582704649069315
203,1.0,0.0,2.3856391573875486,0.5778006287275612
204,1.0,0.0,2.4259000505395845,0.5727799744329161
205,1.0,0.0,2.4671300057165206,0.5676384751933087
206,1.0,0.0,2.5093644364588727,0.5623717148338764
207,1.0,0.0,2.5526405031291426,0.5569750593458088
208,1.0,0.0,2.5969972219621065,0.5514436432874489
209,1.0,0.0,2.6424755823877106,0.5457723551537756
210,1.0,0.0,2.689118673368121,0.5399558216217947
211,1.0,0.0,2.736971819567403,0.5339883905697701
212,1.0,0.0,2.7860827282583696,0.5278641127574991
213,1.0,0.0,2.8365016479675065,0.5215767220428138
214,1.0,0.0,2.888281539966933,0.5151196139960185
215,1.0,0.0,2.9414782638437598,0.5084858227588329
216,1.0,0.0,2.996150778513715,0.5016679959773901
217,1.0,0.0,3.0523613601997397,0.49465836761965043
218,1.0,0.0,3.1101758390698007,0.48744872846595566
219,1.0,0.0,3.1696638564243584,0.4800303940369794
220,1.0,0.0,3.230899144546022,0.4723941696956346
221,1.0,0.0,3.2939598315758096,0.4645303126280881
222,1.0,0.0,3.358928774066649,0.4564284903733404
223,1.0,0.0,3.425893920190498,0.44807773553020697
224,1.0,0.0,3.4949487069469907,0.4394663962242072
225,1.0,0.0,3.5661924951460158,0.43058208186392993
226,1.0,0.0,3.6397310464226758,0.421411603655836
227,1.0,0.0,3.7156770471007077,0.4119409092769161
228,1.0,0.0,3.7941506843616093,0.4021550110246703
229,1.0,0.0,3.8752802809155136,0.39203790667174343
230,1.0,0.0,3.9592029952231353,0.3815724921461462
231,1.0,0.0,4.046065595305863,0.3707404650348119
232,1.0,0.0,4.136025315327361,0.35952221776529836
233,1.0,0.0,4.229250805463539,0.3478967191541498
234,1.0,0.0,4.325923187133151,0.33584138281647175
235,1.0,0.0,4.426237227480341,0.3233319207044309
236,1.0,0.0,4.530402649133753,0.31034217977635936
237,1.0,0.0,4.638645593775994,0.29684395948524733
238,1.0,0.0,4.7512102610171185,0.2828068074062983
239,1.0,0.0,4.8683607475683655,0.26819778988643883
240,1.0,0.0,4.990383115870458,0.252981234080158
241,1.0,0.0,5.117587726283379,0.2371184371184371
242,1.0,0.0,5.250311872864349,0.22056733741931983
243,1.0,0.0,5.38892276986195,0.20328214226312577
244,1.0,0.0,5.533820944605091,0.18521290468900603
245,1.0,0.0,5.685444102802111,0.16630504148053604
246,1.0,0.0,5.844271544812021,0.14649878244342815
247,1.0,0.0,6.01082922674454,0.12572853927115654
248,1.0,0.0,6.185695578973624,0.10392217995884517
249,1.0,0.0,6.369508217688815,0.08100019185265715
250,1.0,0.0,6.562971713591915,0.056874712869987534
251,1.0,0.0,6.766866617240682,0.031448406011997034
252,1.0,0.0,6.982059984761377,0.00461314677564591
253,1.0,0.0,7.019053053498859,0.0
254,1.0,0.0,7.019053053498859,0.0
255,1.0,0.0,7.019053053498859,0.0
256,1.0,0.0,7.019053053498859,0.0
257,1.0,0.0,7.019053053498859,0.0
258,1.0,0.0,7.019053053498859,0.0
259,1.0,0.0,7.019053053498859,0.0
260,1.0,0.0,7.019053053498859,0.0
261,1.0,0.0,7.019053053498859,0.0
262,1.0,0.0,7.019053053498859,0.0
263,1.0,0.0,7.019053053498859,0.0
264,1.0,0.0,7.019053053498859,0.0
265,1.0,0.0,7.019053053498859,0.0
266,1.0,0.0,7.019053053498859,0.0
267,1.0,0.0,7.019053053498859,0.0
268,1.0,0.0,7.019053053498859,0.0
269,1.0,0.0,7.019053053498859,0.0
270,1.0,0.0,7.019053053498859,0.0
271,1.0,0.0,7.019053053498859,0.0
272,1.0,0.0,7.019053053498859,0.0
273,1.0,0.0,7.019053053498859,0.0
274,1.0,0.0,7.019053053498859,0.0
275,1.0,0.0,7.019053053498859,0.0
276,1.0,0.0,7.019053053498859,0.0
277,1.0,0.0,7.019053053498859,0.0
278,1.0,0.0,7.019053053498859,0.0
279,1.0,0.0,7.019053053498859,0.0
280,1.0,0.0,7.019053053498859,0.0
281,1.0,0.0,7.019053053498859,0.0
282,1.0,0.0,7.019053053498859,0.0
283,1.0,0.0,7.019053053498859,0.0
284,1.0,0.0,7.019053053498859,0.0
285,1.0,0.0,7.019053053498859,0.0
286,1.0,0.0,7.019053053498859,0.0
287,1.0,0.0,7.019053053498859,0.0
288,1.0,0.0,7.019053053498859,0.0
289,1.0,0.0,7.019053053498859,0.0
