,BIOMASS,R00200,R00268,R00341,R00342,R00351,R00405,R00658,R00703,R01015,R01049,R01056,R01061,R01070,R01082,R01196,R01197,R01325,R01512,R01518,R01528,R01529,R01641,R01786,R01830,R01899,R01900,R02035,R02164,R02740,R04779,Glucose_input,Oxygen_input,CO2_output,Lactate_output,Glutamate_input,Ammonia_output,Glu_Exchange,acetyl_CoA_hydrolase,NADP_Exchange,ADP_Exchange,AMP_Exchange,R00835,R08575,R00243,Oxophos
10,2.4782923,-194.32719,0.0,-1.5663551,0.8903513,0.0,0.0,195.89354,-193.07409,-99.211763,0.31870592,-0.21247061,198.31729,99.211763,-0.8903513,-0.0,0.0,0.0,-198.31729,-195.89354,0.0,-0.21247061,0.10623531,100.0,0.10623531,0.0,0.0,0.0,0.0,99.317999,99.211763,100.0,10.0,7.5432936,193.07409,3.6768193,2.786468,0.0,-0.11541655,7.7658802,187.85615,0.31870592,0.0,-0.10623531,3.6768193,10.0
11,2.7261216,-193.75991,0.0,-1.7229906,0.97938643,0.0,0.0,195.4829,-192.3815,-99.13294,0.35057651,-0.23371767,198.14902,99.13294,-0.97938643,-0.0,0.0,0.0,-198.14902,-195.4829,0.0,-0.23371767,0.11685884,100.0,0.11685884,0.0,0.0,0.0,0.0,99.249799,99.13294,100.0,11.0,8.297623,192.3815,4.0445012,3.0651148,0.0,-0.12695821,8.5424682,186.64176,0.35057651,0.0,-0.11685884,4.0445012,11.0
12,2.9739508,-193.19263,0.0,-1.8796261,1.0684216,0.0,0.0,195.07225,-191.68891,-99.054116,0.3824471,-0.25496473,197.98075,99.054116,-1.0684216,-0.0,0.0,0.0,-197.98075,-195.07225,0.0,-0.25496473,0.12748237,100.0,0.12748237,0.0,0.0,0.0,0.0,99.181598,99.054116,100.0,12.0,9.0519523,191.68891,4.4121831,3.3437616,0.0,-0.13849986,9.3190562,185.42738,0.3824471,0.0,-0.12748237,4.4121831,12.0
13,3.22178,-192.62535,0.0,-2.0362616,1.1574567,0.0,0.0,194.66161,-190.99632,-98.975292,0.41431769,-0.27621179,197.81248,98.975292,-1.1574567,-0.0,0.0,0.0,-197.81248,-194.66161,0.0,-0.27621179,0.1381059,100.0,0.1381059,0.0,0.0,0.0,0.0,99.113398,98.975292,100.0,13.0,9.8062817,190.99632,4.7798651,3.6224084,0.0,-0.15004152,10.095644,184.21299,0.41431769,0.0,-0.1381059,4.7798651,13.0
14,3.4696093,-192.05806,0.0,-2.1928971,1.2464918,0.0,0.0,194.25096,-190.30373,-98.896469,0.44618828,-0.29745885,197.64421,98.896469,-1.2464918,-0.0,0.0,0.0,-197.64421,-194.25096,0.0,-0.29745885,0.14872943,100.0,0.14872943,0.0,0.0,0.0,0.0,99.045198,98.896469,100.0,14.0,10.560611,190.30373,5.147547,3.9010552,0.0,-0.16158317,10.872232,182.99861,0.44618828,0.0,-0.14872943,5.147547,14.0
15,3.7174385,-191.49078,0.0,-2.3495326,1.335527,0.0,0.0,193.84032,-189.61113,-98.817645,0.47805887,-0.31870592,197.47594,98.817645,-1.335527,-0.0,0.0,0.0,-197.47594,-193.84032,0.0,-0.31870592,0.15935296,100.0,0.15935296,0.0,0.0,0.0,0.0,98.976998,98.817645,100.0,15.0,11.31494,189.61113,5.5152289,4.179702,0.0,-0.17312483,11.64882,181.78422,0.47805887,0.0,-0.15935296,5.5152289,15.0
16,3.9652677,-190.9235,0.0,-2.5061682,1.4245621,0.0,0.0,193.42967,-188.91854,-98.738821,0.50992946,-0.33995298,197.30767,98.738821,-1.4245621,-0.0,0.0,0.0,-197.30767,-193.42967,0.0,-0.33995298,0.16997649,100.0,0.16997649,0.0,0.0,0.0,0.0,98.908798,98.738821,100.0,16.0,12.06927,188.91854,5.8829108,4.4583488,0.0,-0.18466648,12.425408,180.56984,0.50992946,0.0,-0.16997649,5.8829108,16.0
17,4.213097,-190.35622,0.0,-2.6628037,1.5135972,0.0,0.0,193.01902,-188.22595,-98.659998,0.54180006,-0.36120004,197.1394,98.659998,-1.5135972,-0.0,0.0,0.0,-197.1394,-193.01902,0.0,-0.36120004,0.18060002,100.0,0.18060002,0.0,0.0,0.0,0.0,98.840598,98.659998,100.0,17.0,12.823599,188.22595,6.2505928,4.7369956,0.0,-0.19620814,13.201996,179.35545,0.54180006,0.0,-0.18060002,6.2505928,17.0
18,4.4609262,-189.78894,0.0,-2.8194392,1.6026323,0.0,0.0,192.60838,-187.53336,-98.581174,0.57367065,-0.3824471,196.97112,98.581174,-1.6026323,-0.0,0.0,0.0,-196.97112,-192.60838,0.0,-0.3824471,0.19122355,100.0,0.19122355,0.0,0.0,0.0,0.0,98.772398,98.581174,100.0,18.0,13.577928,187.53336,6.6182747,5.0156424,0.0,-0.20774979,13.978584,178.14107,0.57367065,0.0,-0.19122355,6.6182747,18.0
19,4.7087554,-189.22166,0.0,-2.9760747,1.6916675,0.0,0.0,192.19773,-186.84077,-98.502351,0.60554124,-0.40369416,196.80285,98.502351,-1.6916675,-0.0,0.0,0.0,-196.80285,-192.19773,0.0,-0.40369416,0.20184708,100.0,0.20184708,0.0,0.0,0.0,0.0,98.704198,98.502351,100.0,19.0,14.332258,186.84077,6.9859566,5.2942892,0.0,-0.21929145,14.755172,176.92668,0.60554124,0.0,-0.20184708,6.9859566,19.0
20,4.9565847,-188.65438,0.0,-3.1327102,1.7807026,0.0,0.0,191.78709,-186.14818,-98.423527,0.63741183,-0.42494122,196.63458,98.423527,-1.7807026,-0.0,0.0,0.0,-196.63458,-191.78709,0.0,-0.42494122,0.21247061,100.0,0.21247061,0.0,0.0,0.0,0.0,98.635997,98.423527,100.0,20.0,15.086587,186.14818,7.3536386,5.572936,0.0,-0.2308331,15.53176,175.7123,0.63741183,0.0,-0.21247061,7.3536386,20.0
21,5.2044139,-188.0871,0.0,-3.2893457,1.8697377,0.0,0.0,191.37644,-185.45559,-98.344703,0.66928242,-0.44618828,196.46631,98.344703,-1.8697377,-0.0,0.0,0.0,-196.46631,-191.37644,0.0,-0.44618828,0.22309414,100.0,0.22309414,0.0,0.0,0.0,0.0,98.567797,98.344703,100.0,21.0,15.840917,185.45559,7.7213205,5.8515828,0.0,-0.24237476,16.308348,174.49791,0.66928242,0.0,-0.22309414,7.7213205,21.0
22,5.4522431,-187.51982,0.0,-3.4459812,1.9587729,0.0,0.0,190.9658,-184.763,-98.26588,0.70115301,-0.46743534,196.29804,98.26588,-1.9587729,-0.0,0.0,0.0,-196.29804,-190.9658,0.0,-0.46743534,0.23371767,100.0,0.23371767,0.0,0.0,0.0,0.0,98.499597,98.26588,100.0,22.0,16.595246,184.763,8.0890024,6.1302296,0.0,-0.25391641,17.084936,173.28353,0.70115301,0.0,-0.23371767,8.0890024,22.0
23,5.7000724,-186.95253,0.0,-3.6026167,2.047808,0.0,0.0,190.55515,-184.07041,-98.187056,0.7330236,-0.4886824,196.12977,98.187056,-2.047808,-0.0,0.0,0.0,-196.12977,-190.55515,0.0,-0.4886824,0.2443412,100.0,0.2443412,0.0,0.0,0.0,0.0,98.431397,98.187056,100.0,23.0,17.349575,184.07041,8.4566843,6.4088764,0.0,-0.26545807,17.861524,172.06914,0.7330236,0.0,-0.2443412,8.4566843,23.0
