,BIOMASS,R00200,R00268,R00341,R00342,R00351,R00405,R00658,R00703,R01015,R01049,R01056,R01061,R01070,R01082,R01196,R01197,R01325,R01512,R01518,R01528,R01529,R01641,R01786,R01830,R01899,R01900,R02035,R02164,R02740,R04779,Glucose_input,Oxygen_input,CO2_output,Lactate_output,Acetate_output,Glutamate_input,Ammonia_output,Glu_Exchange,acetyl_CoA_hydrolase,NADP_Exchange,ADP_Exchange,AMP_Exchange,R00835,R08575,R00243,Oxophos
10,2.4782923,-90.65037,0.0,94.756826,97.213532,0.0,-96.323181,-4.106456,-89.397271,0.78823657,0.31870592,-0.21247061,-1.6827084,-0.78823657,-97.213532,0.0,-96.323181,0.0,1.6827084,4.106456,0.0,-0.21247061,0.10623531,0.0,0.10623531,0.0,0.0,0.0,96.323181,-0.68200127,-0.78823657,0.0,10.0,200.18966,89.397271,0.0,100.0,99.109649,0.0,-0.11541655,7.7658802,84.17933,0.31870592,0.0,-0.10623531,100.0,10.0
11,2.7261216,-89.715407,0.0,94.232508,96.934885,0.0,-95.955499,-4.5171016,-88.336998,0.86706023,0.35057651,-0.23371767,-1.8509793,-0.86706023,-96.934885,0.0,-95.955499,0.0,1.8509793,4.5171016,0.0,-0.23371767,0.11685884,0.0,0.11685884,0.0,0.0,0.0,95.955499,-0.75020139,-0.86706023,0.0,11.0,200.20862,88.336998,0.0,100.0,99.020614,0.0,-0.12695821,8.5424682,82.597263,0.35057651,0.0,-0.11685884,100.0,11.0
12,2.9739508,-88.780443,0.0,93.708191,96.656238,0.0,-95.587817,-4.9277472,-87.276725,0.94588388,0.3824471,-0.25496473,-2.0192501,-0.94588388,-96.656238,0.0,-95.587817,0.0,2.0192501,4.9277472,0.0,-0.25496473,0.12748237,0.0,0.12748237,0.0,0.0,0.0,95.587817,-0.81840152,-0.94588388,0.0,12.0,200.22759,87.276725,0.0,100.0,98.931578,0.0,-0.13849986,9.3190562,81.015196,0.3824471,0.0,-0.12748237,100.0,12.0
13,3.22178,-87.84548,0.0,93.183873,96.377592,0.0,-95.220135,-5.3383928,-86.216452,1.0247075,0.41431769,-0.27621179,-2.187521,-1.0247075,-96.377592,0.0,-95.220135,0.0,2.187521,5.3383928,0.0,-0.27621179,0.1381059,0.0,0.1381059,0.0,0.0,0.0,95.220135,-0.88660165,-1.0247075,0.0,13.0,200.24655,86.216452,0.0,100.0,98.842543,0.0,-0.15004152,10.095644,79.433129,0.41431769,0.0,-0.1381059,100.0,13.0
14,3.4696093,-86.910517,0.0,92.659556,96.098945,0.0,-94.852453,-5.7490385,-85.156179,1.1035312,0.44618828,-0.29745885,-2.3557918,-1.1035312,-96.098945,0.0,-94.852453,0.0,2.3557918,5.7490385,0.0,-0.29745885,0.14872943,0.0,0.14872943,0.0,0.0,0.0,94.852453,-0.95480177,-1.1035312,0.0,14.0,200.26552,85.156179,0.0,100.0,98.753508,0.0,-0.16158317,10.872232,77.851062,0.44618828,0.0,-0.14872943,100.0,14.0
15,3.7174385,-85.975554,0.0,92.135238,95.820298,0.0,-94.484771,-6.1596841,-84.095906,1.1823549,0.47805887,-0.31870592,-2.5240627,-1.1823549,-95.820298,0.0,-94.484771,0.0,2.5240627,6.1596841,0.0,-0.31870592,0.15935296,0.0,0.15935296,0.0,0.0,0.0,94.484771,-1.0230019,-1.1823549,0.0,15.0,200.28448,84.095906,0.0,100.0,98.664473,0.0,-0.17312483,11.64882,76.268995,0.47805887,0.0,-0.15935296,100.0,15.0
16,3.9652677,-85.040591,0.0,91.610921,95.541651,0.0,-94.117089,-6.5703297,-83.035633,1.2611785,0.50992946,-0.33995298,-2.6923335,-1.2611785,-95.541651,0.0,-94.117089,0.0,2.6923335,6.5703297,0.0,-0.33995298,0.16997649,0.0,0.16997649,0.0,0.0,0.0,94.117089,-1.091202,-1.2611785,0.0,16.0,200.30345,83.035633,0.0,100.0,98.575438,0.0,-0.18466648,12.425408,74.686928,0.50992946,0.0,-0.16997649,100.0,16.0
17,4.213097,-84.105628,0.0,91.086604,95.263004,0.0,-93.749407,-6.9809753,-81.97536,1.3400022,0.54180006,-0.36120004,-2.8606044,-1.3400022,-95.263004,0.0,-93.749407,0.0,2.8606044,6.9809753,0.0,-0.36120004,0.18060002,0.0,0.18060002,0.0,0.0,0.0,93.749407,-1.1594022,-1.3400022,0.0,17.0,200.32241,81.97536,0.0,100.0,98.486403,0.0,-0.19620814,13.201996,73.104861,0.54180006,0.0,-0.18060002,100.0,17.0
18,4.4609262,-83.170665,0.0,90.562286,94.984358,0.0,-93.381725,-7.3916209,-80.915087,1.4188258,0.57367065,-0.3824471,-3.0288752,-1.4188258,-94.984358,0.0,-93.381725,0.0,3.0288752,7.3916209,0.0,-0.3824471,0.19122355,0.0,0.19122355,0.0,0.0,0.0,93.381725,-1.2276023,-1.4188258,0.0,18.0,200.34138,80.915087,0.0,100.0,98.397368,0.0,-0.20774979,13.978584,71.522794,0.57367065,0.0,-0.19122355,100.0,18.0
19,4.7087554,-82.235702,0.0,90.037969,94.705711,0.0,-93.014043,-7.8022665,-79.854814,1.4976495,0.60554124,-0.40369416,-3.197146,-1.4976495,-94.705711,0.0,-93.014043,0.0,3.197146,7.8022665,0.0,-0.40369416,0.20184708,0.0,0.20184708,0.0,0.0,0.0,93.014043,-1.2958024,-1.4976495,0.0,19.0,200.36034,79.854814,0.0,100.0,98.308333,0.0,-0.21929145,14.755172,69.940727,0.60554124,0.0,-0.20184708,100.0,19.0
