,Lactate_output,Ammonia_output,Glucose_input,Glutamate_input
306,0.0,73.569686,111.94609,100.0
307,0.0,73.504587,112.46813,100.0
308,0.0,73.439487,112.99016,100.0
309,0.0,73.374388,113.51219,100.0
310,0.0,73.309289,114.03423,100.0
311,0.0,73.244189,114.55626,100.0
312,0.0,73.17909,115.0783,100.0
313,0.0,73.113991,115.60033,100.0
314,0.0,73.048892,116.12237,100.0
315,0.0,72.983792,116.6444,100.0
316,0.0,72.918693,117.16644,100.0
317,0.0,72.853594,117.68847,100.0
318,0.0,72.788494,118.21051,100.0
319,0.0,72.723395,118.73254,100.0
320,0.0,72.658296,119.25458,100.0
321,0.0,72.593197,119.77661,100.0
322,0.0,72.528097,120.29865,100.0
323,0.0,72.462998,120.82068,100.0
324,0.0,72.397899,121.34272,100.0
325,0.0,72.332799,121.86475,100.0
326,0.0,72.2677,122.38678,100.0
327,0.0,72.202601,122.90882,100.0
328,0.0,72.137501,123.43085,100.0
329,0.0,72.072402,123.95289,100.0
330,0.0,72.007303,124.47492,100.0
331,0.0,71.942204,124.99696,100.0
332,0.0,71.877104,125.51899,100.0
333,0.0,71.812005,126.04103,100.0
334,0.0,71.746906,126.56306,100.0
335,0.0,71.681806,127.0851,100.0
336,0.0,71.616707,127.60713,100.0
337,0.0,71.551608,128.12917,100.0
338,0.0,71.486509,128.6512,100.0
339,0.0,71.421409,129.17324,100.0
340,0.0,71.35631,129.69527,100.0
341,0.0,71.291211,130.21731,100.0
342,0.0,71.226111,130.73934,100.0
343,0.0,71.161012,131.26137,100.0
344,0.0,71.095913,131.78341,100.0
345,0.0,71.030813,132.30544,100.0
346,0.0,70.965714,132.82748,100.0
347,0.0,70.900615,133.34951,100.0
348,0.0,70.835516,133.87155,100.0
349,0.0,70.770416,134.39358,100.0
350,0.0,70.705317,134.91562,100.0
351,0.0,70.640218,135.43765,100.0
352,0.0,70.575118,135.95969,100.0
353,0.0,70.510019,136.48172,100.0
354,0.0,70.44492,137.00376,100.0
355,0.0,70.37982,137.52579,100.0
356,0.0,70.314721,138.04783,100.0
357,0.0,70.249622,138.56986,100.0
358,0.0,70.184523,139.0919,100.0
359,0.0,70.119423,139.61393,100.0
360,0.0,70.054324,140.13596,100.0
361,0.0,69.989225,140.658,100.0
362,0.0,69.924125,141.18003,100.0
363,0.0,69.859026,141.70207,100.0
364,0.0,69.793927,142.2241,100.0
365,0.0,69.728828,142.74614,100.0
366,0.0,69.663728,143.26817,100.0
367,0.0,69.598629,143.79021,100.0
368,0.0,69.53353,144.31224,100.0
369,0.0,69.46843,144.83428,100.0
370,0.0,69.403331,145.35631,100.0
371,0.0,69.338232,145.87835,100.0
372,0.0,69.273132,146.40038,100.0
373,0.0,69.208033,146.92242,100.0
374,0.0,69.142934,147.44445,100.0
375,0.0,69.077835,147.96649,100.0
376,0.0,69.012735,148.48852,100.0
377,0.0,68.947636,149.01055,100.0
378,0.0,68.882537,149.53259,100.0
379,0.0,68.817437,150.05462,100.0
380,0.0,68.752338,150.57666,100.0
381,0.0,68.687239,151.09869,100.0
382,0.0,68.62214,151.62073,100.0
383,0.0,68.55704,152.14276,100.0
384,0.0,68.491941,152.6648,100.0
385,0.0,68.426842,153.18683,100.0
386,0.0,68.361742,153.70887,100.0
387,0.0,68.296643,154.2309,100.0
388,0.0,68.231544,154.75294,100.0
389,0.0,68.166444,155.27497,100.0
390,0.0,68.101345,155.79701,100.0
391,0.0,68.036246,156.31904,100.0
392,0.0,67.971147,156.84108,100.0
393,0.0,67.906047,157.36311,100.0
394,0.0,67.840948,157.88514,100.0
395,0.0,67.775849,158.40718,100.0
396,0.0,67.710749,158.92921,100.0
397,0.0,67.64565,159.45125,100.0
398,0.0,67.580551,159.97328,100.0
399,0.0,67.515451,160.49532,100.0
400,0.0,67.450352,161.01735,100.0
401,0.0,67.385253,161.53939,100.0
402,0.0,67.320154,162.06142,100.0
403,0.0,67.255054,162.58346,100.0
404,0.0,67.189955,163.10549,100.0
405,0.0,67.124856,163.62753,100.0
406,0.0,67.059756,164.14956,100.0
407,0.0,66.994657,164.6716,100.0
408,0.0,66.929558,165.19363,100.0
409,0.0,66.864459,165.71567,100.0
410,0.0,66.799359,166.2377,100.0
411,0.0,66.73426,166.75973,100.0
412,0.0,66.669161,167.28177,100.0
413,0.0,66.604061,167.8038,100.0
414,0.0,66.538962,168.32584,100.0
415,0.0,66.473863,168.84787,100.0
416,0.0,66.408763,169.36991,100.0
417,0.0,66.343664,169.89194,100.0
418,0.0,66.278565,170.41398,100.0
419,0.0,66.213466,170.93601,100.0
420,0.0,66.148366,171.45805,100.0
421,0.0,66.083267,171.98008,100.0
422,0.0,66.018168,172.50212,100.0
423,0.0,65.953068,173.02415,100.0
424,0.0,65.887969,173.54619,100.0
425,0.0,65.82287,174.06822,100.0
426,0.0,65.75777,174.59026,100.0
427,0.0,65.692671,175.11229,100.0
428,0.0,65.627572,175.63432,100.0
429,0.0,65.562473,176.15636,100.0
430,0.0,65.497373,176.67839,100.0
431,0.0,65.432274,177.20043,100.0
432,0.0,65.367175,177.72246,100.0
433,0.0,65.302075,178.2445,100.0
434,0.0,65.236976,178.76653,100.0
435,0.0,65.171877,179.28857,100.0
436,0.0,65.106778,179.8106,100.0
437,0.0,65.041678,180.33264,100.0
438,0.0,64.976579,180.85467,100.0
439,0.0,64.91148,181.37671,100.0
440,0.0,64.84638,181.89874,100.0
441,0.0,64.781281,182.42078,100.0
442,0.0,64.716182,182.94281,100.0
443,0.0,64.651082,183.46485,100.0
444,0.0,64.585983,183.98688,100.0
445,0.0,64.520884,184.50891,100.0
446,0.0,64.455785,185.03095,100.0
447,0.0,64.390685,185.55298,100.0
448,0.0,64.325586,186.07502,100.0
449,0.0,64.260487,186.59705,100.0
450,0.0,64.195387,187.11909,100.0
451,0.0,64.130288,187.64112,100.0
452,0.0,64.074,188.0925,100.0
453,0.0,64.074,188.0925,100.0
454,0.0,64.074,188.0925,100.0
455,0.0,64.074,188.0925,100.0
456,0.0,64.074,188.0925,100.0
457,0.0,64.074,188.0925,100.0
458,0.0,64.074,188.0925,100.0
459,0.0,64.074,188.0925,100.0
460,0.0,64.074,188.0925,100.0
461,0.0,64.074,188.0925,100.0
462,0.0,64.074,188.0925,100.0
463,0.0,64.074,188.0925,100.0
464,0.0,64.074,188.0925,100.0
465,0.0,64.074,188.0925,100.0
466,0.0,64.074,188.0925,100.0
467,0.0,64.074,188.0925,100.0
468,0.0,64.074,188.0925,100.0
469,0.0,64.074,188.0925,100.0
470,0.0,64.074,188.0925,100.0
